19	59118983	59128983	telomere
2	0	10000	telomere
2	33141000	33142000	lowcomplexity
2	92326171	95326171	centromere
2	243189373	243199373	telomere
20	0	10000	telomere
20	26369569	29369569	centromere
20	63015520	63025520	telomere
21	0	10000	telomere
21	11288129	14288129	centromere
21	48119895	48129895	telomere
22	0	10000	telomere
22	13000000	16000000	centromere
22	51294566	51304566	telomere
3	0	10000	telomere
3	90504854	93504854	centromere
3	198012430	198022430	telomere
4	0	10000	telomere
4	49660117	52660117	centromere
4	191144276	191154276	telomere
5	0	10000	telomere
5	46405641	49405641	centromere
5	180905260	180915260	telomere
6	0	10000	telomere
6	58830166	61830166	centromere
6	171105067	171115067	telomere
7	0	10000	telomere
7	58054331	61054331	centromere
7	159128663	159138663	telomere
8	0	10000	telomere
8	43793000	46857000	centromere
8	146354022	146364022	telomere
9	0	10000	telomere
9	47367679	50367679	centromere
9	141203431	141213431	telomere
X	0	10000	telomere
X	58632012	61632012	centromere
X	155260560	155270560	telomere
Y	0	10000	telomere
Y	10104553	13104553	centromere
Y	59363566	59373566	telomere
M
MT
MT
GL000207.1
GL000226.1
GL000229.1
GL000231.1
GL000210.1
GL000239.1
GL000235.1
GL000201.1
GL000247.1
GL000245.1
GL000197.1
GL000203.1
GL000246.1
GL000249.1
GL000196.1
GL000248.1
GL000244.1
GL000238.1
GL000202.1
GL000234.1
GL000232.1
GL000206.1
GL000240.1
GL000236.1
GL000241.1
GL000243.1
GL000242.1
GL000230.1
GL000237.1
GL000233.1
GL000204.1
GL000198.1
GL000208.1
GL000191.1
GL000227.1
GL000228.1
GL000214.1
GL000221.1
GL000209.1
GL000218.1
GL000220.1
GL000213.1
GL000211.1
GL000199.1
GL000217.1
GL000216.1
GL000215.1
GL000205.1
GL000219.1
GL000224.1
GL000223.1
GL000195.1
GL000212.1
GL000222.1
GL000200.1
GL000193.1
GL000194.1
GL000225.1
GL000192.1
NC_007605
hs37d5
11_gl000202_random
17_gl000203_random
17_gl000204_random
17_gl000205_random
17_gl000206_random
18_gl000207_random
19_gl000208_random
19_gl000209_random
1_gl000191_random
1_gl000192_random
21_gl000210_random
4_gl000193_random
4_gl000194_random
7_gl000195_random
8_gl000196_random
8_gl000197_random
9_gl000198_random
9_gl000199_random
9_gl000200_random
9_gl000201_random
Un_gl000211
Un_gl000212
Un_gl000213
Un_gl000214
Un_gl000215
Un_gl000216
Un_gl000217
Un_gl000218
Un_gl000219
Un_gl000220
Un_gl000221
Un_gl000222
Un_gl000223
Un_gl000224
Un_gl000225
Un_gl000226
Un_gl000227
Un_gl000228
Un_gl000229
Un_gl000230
Un_gl000231
Un_gl000232
Un_gl000233
Un_gl000234
Un_gl000235
Un_gl000236
Un_gl000237
Un_gl000238
Un_gl000239
Un_gl000240
Un_gl000241
Un_gl000242
Un_gl000243
Un_gl000244
Un_gl000245
Un_gl000246
Un_gl000247
Un_gl000248
Un_gl000249
